ano,sigla_uf,id_municipio,bioma,id_bdq,id_foco,data_hora,centroide
2022,AC,1200336,Amazônia,1590990810,3329c352-589a-379e-b8c2-d2bb154c7923,2022-07-02T19:00:00,POINT(-72.80864 -7.6501)
2022,AC,1200344,Amazônia,1595639336,a6e2f4a6-b04a-32c9-b65a-81bc4e286ce1,2022-08-11T18:02:00,POINT(-69.43135 -8.76867)
2022,AC,1200344,Amazônia,1594266100,a8fbd1f2-3742-3eef-8635-841568e6ed31,2022-07-28T17:52:00,POINT(-69.6488 -8.72607)
2022,AC,1200344,Amazônia,1601165143,92c16f7b-3e43-3817-856f-948783f5f3e7,2022-09-10T18:06:00,POINT(-69.36268 -8.79599)
2022,AC,1200344,Amazônia,1590230288,9e406f7f-e0fd-335c-aa91-fefa43b40032,2022-06-26T17:58:00,POINT(-69.04282 -8.81164)
2022,AC,1200351,Amazônia,1604591938,842f7f6a-280f-38a0-88b9-e1d7ddc5c4b6,2022-09-29T18:32:00,POINT(-72.82003 -8.99033)
2022,AC,1200401,Amazônia,1595639515,1a0a6a5f-365a-3fa9-8569-c0f350ca10bc,2022-08-11T18:00:00,POINT(-67.80269 -10.01867)
2022,AC,1200401,Amazônia,1607982758,6d52fe19-29bd-3443-bfc2-b979f5e09d3b,2022-10-21T17:47:00,POINT(-68.21745 -10.06421)
2022,AC,1200401,Amazônia,1590040563,3e202eec-977d-34c6-a51b-e47ee4eab8c4,2022-06-24T18:11:00,POINT(-68.27637 -10.11976)
2022,AC,1200401,Amazônia,1587221195,84edb64e-cd80-3a0a-9643-5428c561451d,2022-05-21T18:28:00,POINT(-67.76104 -10.07139)
2022,AC,1200401,Amazônia,1595639532,4cc8f09d-ee94-3442-942d-8e2b66cea3ac,2022-08-11T18:00:00,POINT(-68.27243 -10.08839)
2022,AC,1200427,Amazônia,1605207875,d02dc255-b3b9-3d71-9e2e-7d12bc646189,2022-10-03T18:06:00,POINT(-72.9849 -7.68481)
2022,AC,1200427,Amazônia,1609513746,9e307edb-f8e5-324c-9151-1be0aef247dc,2022-11-05T18:38:00,POINT(-72.9855 -7.74056)
2022,AC,1200427,Amazônia,1573268448,350136e2-474f-3230-b715-85930e45c4e0,2022-01-06T18:32:00,POINT(-73.00906 -7.67604)
2022,AC,1200427,Amazônia,1609536919,69b5ae19-9b46-3d60-a860-bf9055715bab,2022-11-06T19:19:00,POINT(-72.94417 -7.7677)
2022,AC,1200427,Amazônia,1573518114,792c973c-3ca3-3ade-85a7-6209bd764a45,2022-01-08T18:19:00,POINT(-72.72961 -7.78399)
2022,AC,1200427,Amazônia,1609513858,c97635f0-7e3e-337f-bc84-86a5b716728d,2022-11-05T18:38:00,POINT(-72.90751 -7.69153)
2022,AC,1200427,Amazônia,1612241121,cfb6da08-eb63-3770-841b-d6913aa61273,2022-12-05T18:38:00,POINT(-72.90469 -7.72654)
2022,AC,1200427,Amazônia,1592115793,9eeca372-177c-320b-a14c-57b4c474e815,2022-07-11T18:51:00,POINT(-73.41297 -7.83264)
2022,AC,1200427,Amazônia,1612241120,da5e78ab-23d3-30ff-9473-72f275ca4053,2022-12-05T18:38:00,POINT(-72.97151 -7.70879)
